Correctness,Skill Assessed
1,Causation
1,Causation
1,Contextualization
1,Causation
1,Causation
1,Contextualization
1,Contextualization
1,Continuity and Change over Time
1,Contextualization
1,Analyzing Evidence
1,Contextualization
1,Causation
1,Contextualization
1,Continuity and Change over Time
1,Contextualization
1,Analyzing Evidence
1,Analyzing Evidence
1,Analyzing Evidence
1,Causation
1,Contextualization
1,Contextualization
1,Continuity and Change over Time
1,Contextualization
1,Contextualization
1,Continuity and Change over Time
1,Contextualization
0,Continuity and Change over Time
1,Causation
1,Continuity and Change over Time
1,Contextualization
1,Analyzing Evidence
1,Causation
1,Causation
1,Causation
1,Contextualization
1,Analyzing Evidence
1,Causation
1,Analyzing Evidence
1,Analyzing Evidence
1,Comparison
1,Contextualization
1,Causation
1,Continuity and Change over Time
1,Comparison
1,Analyzing Evidence
1,Continuity and Change over Time
1,Contextualization
1,Analyzing Evidence
1,Continuity and Change over Time
1,Contextualization
1,Comparison
1,Causation
1,Contextualization
1,Comparison
1,Analyzing Evidence
1,Analyzing Evidence
1,Comparison
1,Causation
0,Contextualization
1,Analyzing Evidence
0,Analyzing Evidence
1,Analyzing Evidence
1,Continuity and Change over Time
1,Contextualization
1,Contextualization
1,Comparison
1,Contextualization
0,Comparison
0,Comparison
1,Comparison
1,Contextualization
1,Analyzing Evidence
1,Analyzing Evidence
1,Analyzing Evidence
1,Causation
1,Analyzing Evidence
1,Analyzing Evidence
1,Analyzing Evidence
0,Analyzing Evidence
1,Analyzing Evidence
0,Analyzing Evidence
1,Contextualization
1,Analyzing Evidence
1,Contextualization
0,Analyzing Evidence
1,Analyzing Evidence
1,Contextualization
1,Continuity and Change over Time
1,Continuity and Change over Time
1,Contextualization
1,Analyzing Evidence
1,Comparison
1,Contextualization
1,Contextualization
1,Contextualization
1,Analyzing Evidence
1,Analyzing Evidence
0,Causation
1,Contextualization
1,Causation
1,Comparison
1,Causation
0,Analyzing Evidence
1,Analyzing Evidence
1,Contextualization
0,Contextualization
1,Contextualization
1,Analyzing Evidence
1,Continuity and Change over Time
1,Continuity and Change over Time
1,Contextualization
1,Continuity and Change over Time
1,Causation
1,Contextualization
1,Analyzing Evidence
1,Analyzing Evidence
0,Analyzing Evidence
0,Analyzing Evidence
1,Analyzing Evidence
1,Analyzing Evidence
0,Analyzing Evidence
1,Analyzing Evidence
1,Causation
1,Causation
1,Comparison
1,Comparison
1,Comparison
1,Comparison
1,Comparison
1,Comparison
1,Analyzing Evidence
1,Contextualization
1,Analyzing Evidence
1,Contextualization
1,Causation
0,Continuity and Change over Time
0,Comparison
1,Contextualization
1,Causation
1,Analyzing Evidence
1,Causation
1,Analyzing Evidence
1,Contextualization
1,Comparison
1,Causation
1,Continuity and Change over Time
1,Comparison
1,Continuity and Change over Time
1,Contextualization
1,Continuity and Change over Time
1,Contextualization
0,Analyzing Evidence
0,Continuity and Change over Time
0,Causation
1,Causation
1,Causation
0,Continuity and Change over Time
1,Continuity and Change over Time
1,Comparison
1,Causation
1,Continuity and Change over Time
0,Comparison
1,Causation
0,Causation
0,Causation
1,Causation
1,Causation
0,Causation
1,Analyzing Evidence
0,Analyzing Evidence
0,Analyzing Evidence
0,Causation
0,Analyzing Evidence
0,Analyzing Evidence
0,Analyzing Evidence
1,Causation
1,Analyzing Evidence
0,Analyzing Evidence
1,Comparison
1,Analyzing Evidence
0,Analyzing Evidence
0,Causation
0,Analyzing Evidence
1,Causation
1,Causation
0,Causation
1,Causation
0,Continuity and Change over Time
0,Causation
0,Comparison
1,Causation
1,Comparison
1,Comparison
0,Analyzing Evidence
0,Causation
1,Analyzing Evidence
0,Causation
1,Causation
1,Comparison
0,Causation
0,Causation
0,Causation
1,Continuity and Change over Time
1,Analyzing Evidence
1,Causation
0,Causation
0,Continuity and Change over Time
1,Causation
1,Analyzing Evidence
0,Causation
0,Comparison
0,Analyzing Evidence
1,Comparison
1,Analyzing Evidence
1,Analyzing Evidence
0,Analyzing Evidence
1,Analyzing Evidence
1,Analyzing Evidence
1,Analyzing Evidence
1,Analyzing Evidence
0,Analyzing Evidence
0,Analyzing Evidence
1,Analyzing Evidence
0,Analyzing Evidence
0,Analyzing Evidence
0,Causation
1,Analyzing Evidence
0,Analyzing Evidence
1,Analyzing Evidence
1,Comparison
0,Contextualization
0,Contextualization
1,Comparison
1,Analyzing Evidence
1,Contextualization
1,Analyzing Evidence
1,Causation
1,Causation
0,Contextualization
1,Causation
1,Continuity and Change over Time
1,Contextualization
1,Analyzing Evidence
1,Comparison
1,Analyzing Evidence
1,Continuity and Change over Time
1,Analyzing Evidence
1,Analyzing Evidence
1,Continuity and Change over Time
1,Continuity and Change over Time
1,Analyzing Evidence
1,Continuity and Change over Time
1,Causation
1,Contextualization
0,Contextualization
1,Analyzing Evidence
1,Causation
1,Continuity and Change over Time
1,Continuity and Change over Time
0,Contextualization
1,Contextualization
1,Analyzing Evidence
0,Comparison
1,Contextualization
1,Contextualization
1,Comparison
0,Contextualization
1,Contextualization
1,Contextualization
1,Analyzing Evidence
0,Analyzing Evidence
1,Comparison
1,Causation
1,Contextualization
1,Contextualization
1,Continuity and Change over Time
1,Contextualization
0,Causation
1,Contextualization
0,Contextualization
1,Contextualization
0,Comparison
1,Comparison
1,Continuity and Change over Time
0,Causation
1,Analyzing Evidence
1,Causation
0,Contextualization
1,Contextualization
1,Causation
1,Comparison
1,Contextualization
0,Causation
0,Comparison
1,Causation
1,Contextualization
1,Comparison
1,Causation
1,Comparison
0,Continuity and Change over Time
1,Analyzing Evidence
1,Causation
1,Continuity and Change over Time
1,Continuity and Change over Time
1,Causation
1,Contextualization
1,Comparison
0,Analyzing Evidence
1,Comparison
1,Causation
1,Comparison
1,Causation
1,Contextualization
1,Continuity and Change over Time
0,Contextualization
0,Causation
1,Continuity and Change over Time
1,Causation
0,Continuity and Change over Time
1,Contextualization
1,Continuity and Change over Time
1,Continuity and Change over Time
0,Continuity and Change over Time
1,Causation
1,Causation
1,Causation
1,Causation
1,Contextualization
1,Causation
1,Continuity and Change over Time
1,Contextualization
1,Analyzing Evidence
1,Analyzing Evidence
1,Analyzing Evidence
1,Analyzing Evidence
1,Analyzing Evidence
1,Contextualization
1,Causation
0,Analyzing Evidence
1,Analyzing Evidence
0,Continuity and Change over Time
1,Analyzing Evidence
1,Analyzing Evidence
1,Analyzing Evidence
1,Causation
1,Comparison
1,Analyzing Evidence
1,Analyzing Evidence
1,Analyzing Evidence
1,Analyzing Evidence
1,Analyzing Evidence
1,Analyzing Evidence
1,Comparison
1,Analyzing Evidence
0,Causation
1,Causation
1,Analyzing Evidence
1,Causation
1,Causation
1,Contextualization
1,Causation
1,Contextualization
1,Comparison
1,Analyzing Evidence
1,Causation
0,Contextualization
1,Analyzing Evidence
1,Analyzing Evidence
0,Analyzing Evidence
1,Causation
0,Causation
1,Causation
1,Contextualization
1,Contextualization
1,Contextualization
1,Analyzing Evidence
1,Causation
1,Comparison
1,Causation
1,Causation
1,Causation
1,Analyzing Evidence
1,Comparison
1,Continuity and Change over Time
1,Analyzing Evidence
1,Analyzing Evidence
0,Analyzing Evidence
1,Analyzing Evidence
1,Causation
1,Analyzing Evidence
1,Analyzing Evidence
0,Analyzing Evidence
0,Causation
1,Causation
1,Causation
1,Causation
1,Continuity and Change over Time
1,Causation
1,Contextualization
1,Analyzing Evidence
1,Comparison
1,Comparison
1,Causation
1,Causation
1,Contextualization
1,Causation
1,Contextualization
1,Contextualization
1,Contextualization
1,Causation
1,Causation
1,Causation
1,Contextualization
0,Analyzing Evidence
1,Contextualization
1,Contextualization
1,Comparison
1,Comparison
1,Continuity and Change over Time
1,Comparison
1,Causation
1,Comparison
1,Causation
1,Analyzing Evidence
1,Comparison
1,Contextualization
1,Continuity and Change over Time
1,Analyzing Evidence
1,Comparison
1,Continuity and Change over Time
1,Causation
1,Comparison
1,Analyzing Evidence
1,Comparison
1,Contextualization
0,Comparison
1,Analyzing Evidence
1,Analyzing Evidence
1,Continuity and Change over Time
1,Analyzing Evidence
1,Causation
1,Contextualization
1,Analyzing Evidence
1,Analyzing Evidence
1,Analyzing Evidence
1,Contextualization
1,Comparison
1,Contextualization
1,Contextualization
1,Analyzing Evidence
1,Contextualization
1,Contextualization
1,Analyzing Evidence
1,Comparison
1,Causation
